Jahr;Feldzeit;Umfrage;CDU/CSU;SPD;FDP;B90;PDS/LINKE;Sonstige;Republikaner;Total
1979;13.-25.1.;3064;46,5;42,5;7,8;1,9;;1,3;;100
1979;23.2.-7.3.;3065;47,7;42,4;7,1;1,4;;1,4;;100
1979;17.-29.3.;3066;45,5;42,6;8,6;2,5;;0,8;;100
1979;7.-21.4.;3067;47,1;40,9;8,4;2,4;;1,2;;100
1979;29.4.-23.5.;3068;47,4;39,9;7,7;3,2;;1,8;;100
1979;31.5.-16.6.;3070;42,7;45,6;7,5;2,5;;1,7;;100
1979;7.-10.7.;3071;46,1;43;7,2;2,5;;1,2;;100
1979;9.-18.8.;3072;47,7;42;6,2;3,3;;0,8;;100
1979;5.-24.9.;3073;45,2;42,9;7,7;3,3;;0,9;;100
1979;6.-18.10.;3074;44,8;43,7;6;4,8;;0,7;;100
1979;16.-27.11.;3075;46,4;42,1;6,7;4,3;;0,5;;100
1979;1.-10.12.;3076;45,3;41,9;7,5;4,4;;0,9;;100
1980;12.-21.1.;3077;46,6;41,4;7,5;4,1;;0,4;;100
1980;2.-11.2.;3078;46,1;42,8;6,9;3,7;;0,5;;100
1980;21.2.-1.3.;3079;45,2;43,6;7,2;3,3;;0,7;;100
1980;13.-22.3.;3080;44,9;43,4;7,3;3,9;;0,5;;100
1980;6.-11.5.;3082;44,1;44,7;7,6;3,2;;0,4;;100
1980;17.6.-12.7.;3083;44,6;44,5;7,3;2,7;;0,9;;100
1980;18.-28.7.;3084;46,5;43,9;6,6;2,6;;0,4;;100
1980;18.-28.8.;3085;43;46,8;7,6;2,5;;0,1;;100
1980;22.8.-6.9.;3086;45;45,1;7,7;1,5;;0,7;;100
1980;12.-20.9.;3087;44,5;43,5;9,2;2;;0,8;;100
1980;15.-24.10.;3089;45;43,6;9,7;1,5;;0,2;;100
1980;31.10.-12.11.;3090;46,2;40,4;10,5;2,5;;0,4;;100
1980;29.11.-8.12.;3091;46,1;39,3;11,3;2,3;;1;;100
1981;15.-31.1.;3092;46,6;39,7;10,1;2,6;;1;;100
1981;7.-19.2.;3093;48,4;38,4;9,9;2,7;;0,6;;100
1981;14.-24.3.;3094;49,4;36,4;10,2;3,4;;0,6;;100
1981;14.4.-13.5.;3095;50,2;36,9;9,1;3,1;;0,7;;100
1981;22.5.-12.6.;3096;49,8;33,6;10,1;5,8;;0,7;;100
1981;4.-16.7.;3098;49,3;36,3;9,5;4,2;;0,7;;100
1981;13.-21.8.;3099;48,9;35,6;9,4;5,2;;0,9;;100
1981;199.-2.10.;4000;50,3;33;9,7;5,8;;1,2;;100
1981;20.10.-31.10.;4001;53;32,8;8,2;4,8;;1,2;;100
1981;11.11.-23.11.;4002;51,4;32,6;8,5;6,1;;1,4;;100
1981;1.-12.12.;4003;50,1;34,1;9,4;5,7;;0,7;;100
1982;19.12.-11.1.;4004;49;34,2;11,1;5,1;;0,6;;100
1982;10.-20.2.;4005;50,3;33,9;9,6;5,4;;0,8;;100
1982;16.-29.3.;4006;52,7;31,4;8,4;6,7;;0,8;;100
1982;27.3.-30.4.;4007/4009;53,1;33,2;6,6;5,8;;1,3;;100
1982;16.5.-1.6.;4008;49,9;34,3;8,1;7,1;;0,6;;100
1982;7.-24.6.;4010;53,3;31,1;6,8;7,7;;1,1;;100
1982;16.-24.7.;4011;53,7;31,4;5,1;9;;0,8;;100
1982;27.8.-7.9.;4012;57,9;27,5;5,2;8,2;;1,2;;100
1982;11.-23.9.;4013;55,2;32,9;3,8;6,7;;1,4;;100
1982;28.9.-8.10.;4014;49,4;40,4;2,8;6,6;;0,8;;100
1982;9.-18.10.;4015;47,4;43,1;2,1;6,3;;1,1;;100
1982;26.10.-8.11.;4017;51,1;38,6;3,6;6,3;;0,4;;100
1982;25.11.-19.12.;4018/4019;50,5;38,9;3,6;6,3;;0,7;;100
1983;1.-11.1.;4020;49;41,1;3,3;6,2;;0,4;;100
1983;15.-22.1.;4021/I;47,5;43,2;4,9;3,7;;0,7;;100
1983;22.19.1.;4021/II;49;40;4,8;5,8;;0,4;;100
1983;1.-6.2.;4022;50,7;41,9;2,3;4,6;;0,5;;100
1983;5.-14.2.;4023;51,6;37,4;4,7;5,6;;0,7;;100
1983;12.-20.2.;4024;49,2;37,2;6,3;7;;0,3;;100
1983;28.3.-9.4.;4026;53,8;36,5;3,6;5,8;;0,3;;100
1983;9.-25.5.;4027;48,8;37,4;5,8;7,4;;0,6;;100
1983;4.-16.6.;4028;52,1;37,9;3,3;6,3;;0,4;;100
1983;2.-14.7.;4030;51,8;37,9;3,5;6,4;;0,4;;100
1983;13.-24.8.;4031;51,1;39,1;3,7;5,6;;0,5;;100
1983;8.-17.9.;4032;50,1;40,2;4,3;4,8;;0,6;;100
1983;22.9.-4.10.;4033;49,2;42,4;3,7;4,4;;0,3;;100
1984;7.-20.1.;4038;49;40,4;4,8;5,5;;0,3;;100
1984;28.1.-13.2.;4039;48,8;40,6;3,8;6,6;;0,2;;100
1984;1.-8.3.;4040;50,5;40,6;3,5;5,2;;0,2;;100
1984;17.3.-2.4.;4041;48,8;41,4;3,5;6;;0,3;;100
1984;9.-26.4.;4043;49,4;39,2;4,1;6,7;;0,6;;100
1984;4.-16.5.;4044;48,3;39,5;3,4;8,4;;0,4;;100
1984;28.5.-9.6.;4045;48,2;40,8;3,8;7;;0,2;;100
1984;2.-16.7.;4046;46,8;39,4;3,9;9,3;;0,6;;100
1984;30.7.-17.8.;4047;46,7;38,6;3,9;10,2;;0,6;;100
1984;27.8.-8.9.;4048;50;39;2,8;7,8;;0,4;;100
1984;28.9.-10.10.;4049;46,9;38,3;3,8;10,3;;0,7;;100
1984;8.-17.11.;4050;48,4;37,4;3,9;9,8;;0,5;;100
1984;1.-10.12.;4051;47;39,6;3,7;9,2;;0,5;;100
1985;5.-17.1.;4052;44,4;36,8;7;11,4;;0,4;;100
1985;20.1.-3.2.;4053;44,8;37,3;6,8;10,4;;0,7;;100
1985;6.-16.3.;4055;41,9;36,8;10,6;10,1;;0,6;;100
1985;9.-22.4.;4056;42,5;38,1;7,9;10,8;;0,7;;100
1985;14.-24.5.;4058;40,7;43;8,2;7,5;;0,6;;100
1985;5.-14.6.;4059;39,6;44,2;7,6;8,2;;0,4;;100
1985;27.6.-11.7.;4060;40,7;43,4;7,5;7,7;;0,7;;100
1985;2.-19.7.;4061;42;42,8;7,7;6,9;;0,6;;100
1985;1.-9.9.;4062;41,2;41,6;8,1;8,6;;0,5;;100
1985;23.-31.10.;4063;43,8;39,8;7,4;8,5;;0,5;;100
1985;6.-14.11.;4064;41,3;42,8;7,2;8,1;;0,6;;100
1985;21.-30.11.;4065;44,4;38,4;7,7;9,3;;0,2;;100
1985;1.-12.12.;4066;42,4;41;7,4;8,6;;0,6;;100
1986;10.-20.1.;4067;44,2;39,2;7,4;8,6;;0,6;;100
1986;24.2.-4.3.;4068;43,7;39,6;6,5;9,7;;0,5;;100
1986;24.3.-8.4.;4070;42;40,6;6,7;10,3;;0,4;;100
1986;14.-24.4.;4071;43,3;40,5;6,9;8,9;;0,4;;100
1986;22.5.-11.6.;4073;43,3;38,5;7;10,9;;0,3;;100
1986;3.-14.7.;4075;42,8;39,9;7,8;9;;0,5;;100
